lemma,id_slovo
student,673
summer,674
tidyverse,675
whether,676
worth,677
??,678
@ApacheArrow,679
@narcicismo,680
😂,681
agree,682
allow,683
amount,684
argument,685
behind,686
content,687
core,688
drop,689
enjoy,690
entire,691
exact,692
forge,693
house,694
KKWFRAGRANCE,695
KKWXMARIO,696
Kourt,697
pass,698
picture,699
pst,700
reality,701
similar,702
technology,703
woman,704
50,705
angel,706
art,707
cause,708
context,709
country,710
couple,711
e!,712
engineer,713
exciting,714
expert,715
Flow,716
forever,717
generally,718
goodamerican,719
hopefully,720
huge,721
interview,722
job,723
late,724
low,725
pink,726
pr,727
practice,728
ProjectJupyter,729
purpose,730
second,731
size,732
standard,733
stock,734
super,735
Tensor,736
....,737
@jakevdp,738
😉,739
25,740
ad,741
basically,742
benefit,743
cc,744
computer,745
Crème,746
depend,747
difficult,748
discussion,749
easier,750
either,751
especially,752
focus,753
input,754
item,755
jeremyphoward,756
jreback,757
man,758
option,759
principle,760
reach,761
text,762
thought,763
understanding,764
usually,765
vibe,766
!!!!!!,767
2019,768
absolutely,769
account,770
affect,771
building,772
certain,773
choose,774
christmas,775
count,776
email,777
event,778
explain,779
fight,780
fuck,781
honestly,782
KKWxMARIO,783
laugh,784
map,785
mention,786
movie,787
page,788
personal,789
potential,790
r,791
return,792
scale,793
school,794
skin,795
thankful,796
thread,797
totally,798
trend,799
tutorial,800
ugh,801
@MilesMcBain,802
action,803
discuss,804
dremiohq,805
factor,806
fine,807
force,808
generalization,809
glam,810
hadleywickham,811
lack,812
light,813
mailing,814
million,815
ML,816
neural,817
OSS,818
Peach,819
red,820
Red,821
report,822
resource,823
room,824
scientific,825
simply,826
society,827
soul,828
TF,829
training,830
travel,831
unfortunately,832
via,833
weird,834
:),835
@sharlagelfand,836
🏽,837
😜,838
30,839
abstract,840
actual,841
am,842
appreciate,843
basic,844
bear,845
brand,846
chance,847
currently,848
ggplot2,849
history,850
industry,851
interest,852
interface,853
Kimoji,854
m,855
Ml,856
rich,857
shadow,858
sort,859
star,860
string,861
switch,862
SylvainCorlay,863
Tbt,864
TensorFlow,865
tf.kera,866
themselves,867
view,868
@BrodieGaslam,869
🤔,870
24,871
8c,872
abstraction,873
analysis,874
analytic,875
black,876
campaign,877
child,878
complex,879
complexity,880
concept,881
conference,882
die,883
dplyr,884
drink,885
employee,886
eventually,887
fully,888
GaelVaroquaux,889
GitHub,890
inside,891
itself,892
KrisJenner,893
major,894
market,895
mine,896
multiple,897
nude,898
obviously,899
plot,900
PyTorch,901
random,902
record,903
related,904
safe,905
search,906
